,description,done,id,title,hour
0,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,1
1,Need to find a good Python tutorial on the web,False,2,Learn Python,1
2,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,2
3,Need to find a good Python tutorial on the web,False,2,Learn Python,2
4,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,3
5,Need to find a good Python tutorial on the web,False,2,Learn Python,3
6,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,4
7,Need to find a good Python tutorial on the web,False,2,Learn Python,4
8,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,5
9,Need to find a good Python tutorial on the web,False,2,Learn Python,5
10,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,6
11,Need to find a good Python tutorial on the web,False,2,Learn Python,6
12,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,7
13,Need to find a good Python tutorial on the web,False,2,Learn Python,7
14,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,8
15,Need to find a good Python tutorial on the web,False,2,Learn Python,8
16,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,9
17,Need to find a good Python tutorial on the web,False,2,Learn Python,9
18,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,10
19,Need to find a good Python tutorial on the web,False,2,Learn Python,10
20,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,11
21,Need to find a good Python tutorial on the web,False,2,Learn Python,11
22,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,12
23,Need to find a good Python tutorial on the web,False,2,Learn Python,12
24,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,13
25,Need to find a good Python tutorial on the web,False,2,Learn Python,13
26,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,14
27,Need to find a good Python tutorial on the web,False,2,Learn Python,14
28,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,15
29,Need to find a good Python tutorial on the web,False,2,Learn Python,15
30,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,16
31,Need to find a good Python tutorial on the web,False,2,Learn Python,16
32,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,17
33,Need to find a good Python tutorial on the web,False,2,Learn Python,17
34,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,18
35,Need to find a good Python tutorial on the web,False,2,Learn Python,18
36,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,19
37,Need to find a good Python tutorial on the web,False,2,Learn Python,19
38,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,20
39,Need to find a good Python tutorial on the web,False,2,Learn Python,20
40,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,21
41,Need to find a good Python tutorial on the web,False,2,Learn Python,21
42,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,22
43,Need to find a good Python tutorial on the web,False,2,Learn Python,22
44,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,23
45,Need to find a good Python tutorial on the web,False,2,Learn Python,23
46,"Milk, Cheese, Pizza, Fruit, Tylenol",False,1,Buy groceries,24
47,Need to find a good Python tutorial on the web,False,2,Learn Python,24
